blank,k,E,EF
,0.4965,-30.4935,
,0.5081,-30.4947,
,0.5196,-30.4958,
,0.5312,-30.4967,
,0.5427,-30.4974,
,0.5543,-30.4979,
,0.5658,-30.4982,
,0.5774,-30.4983,
,0.584,-30.4983,
,0.5907,-30.4986,
,0.5974,-30.4991,
,0.604,-30.4998,
,0.6107,-30.5007,
,0.6174,-30.5017,
,0.624,-30.503,
,0.6307,-30.5044,
,0.6374,-30.506,
,0.644,-30.5078,
,0.6507,-30.5098,
,0.6574,-30.512,
,0.664,-30.5143,
,0.6707,-30.5169,
,0.6774,-30.5196,
,0.684,-30.5224,
,0.6907,-30.5255,
,0.6974,-30.5287,
,0.704,-30.5321,
,0.7107,-30.5357,
,0.7174,-30.5395,
,0.724,-30.5435,
,0.7307,-30.5477,
,0.7374,-30.5521,
,0.744,-30.5566,
,0.7507,-30.5614,
,0.7574,-30.5662,
,0.764,-30.5712,
,0.7707,-30.5763,
,0.7774,-30.5815,
,0.784,-30.5868,
,0.7907,-30.5921,
,0.7974,-30.5974,
,0.804,-30.6028,
,0.8107,-30.6082,
,0.8174,-30.6136,
,0.824,-30.619,
,0.8307,-30.6243,
,0.8374,-30.6296,
,0.844,-30.6349,
,0.8507,-30.64,
,0.8574,-30.6451,
,0.864,-30.65,
,0.8707,-30.6547,
,0.8774,-30.6591,
,0.884,-30.663,
,0.8907,-30.6662,
,0.8974,-30.6684,
,0.904,-30.6693,
,0.9107,-30.6695,
,0.924,-30.6688,
,0.9374,-30.665,
,0.9507,-30.6582,
,0.964,-30.6501,
,0.9774,-30.6415,
,0.9907,-30.6327,
,1.004,-30.6238,
,1.0174,-30.6147,
,1.0307,-30.6057,
,1.044,-30.5968,
,1.0574,-30.5879,
,1.0707,-30.5791,
,1.084,-30.5705,
,1.0974,-30.562,
,1.1107,-30.5539,
,1.124,-30.5459,
,1.1374,-30.5383,
,1.1507,-30.531,
,1.164,-30.5238,
,1.1774,-30.5169,
,1.1907,-30.51,
,1.204,-30.5031,
,1.2174,-30.4963,
,1.2307,-30.4896,
,1.244,-30.4829,
,1.2574,-30.4763,
,1.2707,-30.4698,
,1.284,-30.4635,
,1.2974,-30.4574,
,1.3107,-30.4516,
,1.324,-30.446,
,1.3374,-30.4408,
,1.3507,-30.4358,
,1.364,-30.4312,
,1.3774,-30.4269,
,1.3907,-30.4229,
,1.404,-30.4192,
,1.4174,-30.4158,
,1.4307,-30.4127,
,1.444,-30.4099,
,1.4574,-30.4074,
,1.4707,-30.4052,
,1.484,-30.4032,
,1.4974,-30.4013,
,1.5107,-30.3989,
,1.524,-30.3945,
,1.5374,-30.3902,
,1.5507,-30.3867,
,1.564,-30.3843,
,1.5774,-30.3836,
,,,
,0,-30.3835,
,0.0115,-30.3837,
,0.0231,-30.3839,
,0.0346,-30.3844,
,0.0462,-30.385,
,0.0577,-30.3858,
,0.0693,-30.3868,
,0.0808,-30.388,
,0.0924,-30.3893,
,0.1039,-30.3907,
,0.1155,-30.3923,
,0.127,-30.3941,
,0.1386,-30.3959,
,0.1501,-30.398,
,0.1617,-30.4001,
,0.1732,-30.4023,
,0.1848,-30.4046,
,0.1963,-30.4071,
,0.2078,-30.4096,
,0.2194,-30.4121,
,0.2309,-30.4147,
,0.2425,-30.4174,
,0.254,-30.4201,
,0.2656,-30.4228,
,0.2771,-30.4256,
,0.2887,-30.4283,
,0.3002,-30.431,
,0.3118,-30.4338,
,0.3233,-30.4365,
,0.3349,-30.4391,
,0.3464,-30.4417,
,0.358,-30.4443,
,0.3695,-30.4468,
,0.3811,-30.4492,
,0.3926,-30.4515,
,0.4041,-30.4538,
,0.4157,-30.4559,
,0.4272,-30.4579,
,0.4388,-30.4598,
,0.4503,-30.4618,
,0.4619,-30.4662,
,0.4734,-30.4701,
,0.485,-30.4737,
,0.4965,-30.4768,
,0.5081,-30.4795,
,0.5196,-30.4817,
,0.5312,-30.4836,
,0.5427,-30.485,
,0.5543,-30.486,
,0.5658,-30.4867,
,0.5774,-30.4869,
,0.584,-30.4869,
,0.5907,-30.4868,
,0.5974,-30.4867,
,0.604,-30.4867,
,0.6107,-30.4866,
,0.6174,-30.4866,
,0.624,-30.4868,
,0.6307,-30.4873,
,0.6374,-30.4883,
,0.644,-30.4899,
,0.6507,-30.4921,
,0.6574,-30.4947,
,0.664,-30.4977,
,0.6707,-30.5009,
,0.6774,-30.5044,
,0.684,-30.508,
,0.6907,-30.5119,
,0.6974,-30.5158,
,0.704,-30.5198,
,0.7107,-30.5239,
,0.7174,-30.5281,
,0.724,-30.5322,
,0.7307,-30.5364,
,0.7374,-30.5406,
,0.744,-30.5448,
,0.7507,-30.5489,
,0.7574,-30.5531,
,0.764,-30.5572,
,0.7707,-30.5613,
,0.7774,-30.5654,
,0.784,-30.5694,
,0.7907,-30.5735,
,0.7974,-30.5775,
,0.804,-30.5815,
,0.8107,-30.5854,
,0.8174,-30.5892,
,0.824,-30.593,
,0.8307,-30.5967,
,0.8374,-30.6003,
,0.844,-30.6038,
,0.8507,-30.6071,
,0.8574,-30.6103,
,0.864,-30.6132,
,0.8707,-30.6159,
,0.8774,-30.6184,
,0.884,-30.6204,
,0.8907,-30.6222,
,0.8974,-30.6234,
,0.904,-30.6242,
,0.9107,-30.6244,
,0.924,-30.6234,
,0.9374,-30.6207,
,0.9507,-30.6166,
,0.964,-30.6116,
,0.9774,-30.6061,
,0.9907,-30.6002,
,1.004,-30.594,
,1.0174,-30.5878,
,1.0307,-30.5814,
,1.044,-30.575,
,1.0574,-30.5686,
,1.0707,-30.5621,
,1.084,-30.5555,
,1.0974,-30.5489,
,1.1107,-30.5421,
,1.124,-30.5352,
,1.1374,-30.528,
,1.1507,-30.5207,
,1.164,-30.5134,
,1.1774,-30.506,
,1.1907,-30.4986,
,1.204,-30.4913,
,1.2174,-30.4842,
,1.2307,-30.4772,
,1.244,-30.4704,
,1.2574,-30.4638,
,1.2707,-30.4574,
,1.284,-30.4512,
,1.2974,-30.4452,
,1.3107,-30.4395,
,1.324,-30.434,
,1.3374,-30.4287,
,1.3507,-30.4237,
,1.364,-30.419,
,1.3774,-30.4146,
,1.3907,-30.4105,
,1.404,-30.4067,
,1.4174,-30.4031,
,1.4307,-30.3999,
,1.444,-30.397,
,1.4574,-30.3944,
,1.4707,-30.392,
,1.484,-30.39,
,1.4974,-30.3882,
,1.5107,-30.3868,
,1.524,-30.3856,
,1.5374,-30.3847,
,1.5507,-30.3841,
,1.564,-30.3837,
,1.5774,-30.3835,
,,,
,0,-30.3478,
,0.0115,-30.3475,
,0.0231,-30.3466,
,0.0346,-30.3453,
,0.0462,-30.3438,
,0.0577,-30.3421,
,0.0693,-30.3405,
,0.0808,-30.339,
,0.0924,-30.3375,
,0.1039,-30.3362,
,0.1155,-30.335,
,0.127,-30.334,
,0.1386,-30.333,
,0.1501,-30.3323,
,0.1617,-30.3316,
,0.1732,-30.3311,
,0.1848,-30.3307,
,0.1963,-30.3305,
,0.2078,-30.3303,
,0.2194,-30.3302,
,0.2309,-30.3303,
,0.2425,-30.3306,
,0.254,-30.3358,
,0.2656,-30.3448,
,0.2771,-30.3537,
,0.2887,-30.3627,
,0.3002,-30.3715,
,0.3118,-30.3802,
,0.3233,-30.3886,
,0.3349,-30.3969,
,0.3464,-30.4049,
,0.358,-30.4126,
,0.3695,-30.4201,
,0.3811,-30.4271,
,0.3926,-30.4339,
,0.4041,-30.4403,
,0.4157,-30.4463,
,0.4272,-30.4518,
,0.4388,-30.4571,
,0.4503,-30.4616,
,0.4619,-30.4632,
,0.4734,-30.4647,
,0.485,-30.4661,
,0.4965,-30.4673,
,0.5081,-30.4684,
,0.5196,-30.4693,
,0.5312,-30.4701,
,0.5427,-30.4706,
,0.5543,-30.471,
,0.5658,-30.4713,
,0.5774,-30.4714,
,0.584,-30.4715,
,0.5907,-30.4719,
,0.5974,-30.4726,
,0.604,-30.4735,
,0.6107,-30.4746,
,0.6174,-30.4758,
,0.624,-30.4771,
,0.6307,-30.4783,
,0.6374,-30.4791,
,0.644,-30.4795,
,0.6507,-30.4795,
,0.6574,-30.4792,
,0.664,-30.4787,
,0.6707,-30.478,
,0.6774,-30.4772,
,0.684,-30.4763,
,0.6907,-30.4753,
,0.6974,-30.4743,
,0.704,-30.4731,
,0.7107,-30.4719,
,0.7174,-30.4706,
,0.724,-30.4693,
,0.7307,-30.4679,
,0.7374,-30.4664,
,0.744,-30.4649,
,0.7507,-30.4633,
,0.7574,-30.4617,
,0.764,-30.46,
,0.7707,-30.4583,
,0.7774,-30.4565,
,0.784,-30.4547,
,0.7907,-30.4528,
,0.7974,-30.4509,
,0.804,-30.4489,
,0.8107,-30.4469,
,0.8174,-30.4448,
,0.824,-30.4427,
,0.8307,-30.4406,
,0.8374,-30.4384,
,0.844,-30.4361,
,0.8507,-30.4339,
,0.8574,-30.4316,
,0.864,-30.4292,
,0.8707,-30.4268,
,0.8774,-30.4244,
,0.884,-30.422,
,0.8907,-30.4195,
,0.8974,-30.417,
,0.904,-30.4145,
,0.9107,-30.4121,
,0.924,-30.4168,
,0.9374,-30.4211,
,0.9507,-30.4249,
,0.964,-30.4281,
,0.9774,-30.4308,
,0.9907,-30.4328,
,1.004,-30.4342,
,1.0174,-30.435,
,1.0307,-30.4352,
,1.044,-30.4348,
,1.0574,-30.4338,
,1.0707,-30.4322,
,1.084,-30.4301,
,1.0974,-30.4275,
,1.1107,-30.4244,
,1.124,-30.4207,
,1.1374,-30.4167,
,1.1507,-30.4122,
,1.164,-30.4073,
,1.1774,-30.4021,
,1.1907,-30.3965,
,1.204,-30.3906,
,1.2174,-30.3844,
,1.2307,-30.3778,
,1.244,-30.371,
,1.2574,-30.3639,
,1.2707,-30.3564,
,1.284,-30.3487,
,1.2974,-30.3407,
,1.3107,-30.3325,
,1.324,-30.3276,
,1.3374,-30.3278,
,1.3507,-30.3281,
,1.364,-30.3285,
,1.3774,-30.3289,
,1.3907,-30.3295,
,1.404,-30.3302,
,1.4174,-30.331,
,1.4307,-30.332,
,1.444,-30.3331,
,1.4574,-30.3343,
,1.4707,-30.3357,
,1.484,-30.3373,
,1.4974,-30.339,
,1.5107,-30.3409,
,1.524,-30.3427,
,1.5374,-30.3446,
,1.5507,-30.3462,
,1.564,-30.3474,
,1.5774,-30.3478,
,,,
,0,-30.2093,
,0.0115,-30.2096,
,0.0231,-30.2105,
,0.0346,-30.2121,
,0.0462,-30.2143,
,0.0577,-30.2172,
,0.0693,-30.2206,
,0.0808,-30.2247,
,0.0924,-30.2293,
,0.1039,-30.2345,
,0.1155,-30.2401,
,0.127,-30.2463,
,0.1386,-30.2529,
,0.1501,-30.2599,
,0.1617,-30.2673,
,0.1732,-30.275,
,0.1848,-30.2831,
,0.1963,-30.2914,
,0.2078,-30.3,
,0.2194,-30.3087,
,0.2309,-30.3176,
,0.2425,-30.3264,
,0.254,-30.3304,
,0.2656,-30.3307,
,0.2771,-30.3311,
,0.2887,-30.3315,
,0.3002,-30.332,
,0.3118,-30.3325,
,0.3233,-30.3331,
,0.3349,-30.3337,
,0.3464,-30.3343,
,0.358,-30.335,
,0.3695,-30.3357,
,0.3811,-30.3364,
,0.3926,-30.3372,
,0.4041,-30.3379,
,0.4157,-30.3386,
,0.4272,-30.3394,
,0.4388,-30.3401,
,0.4503,-30.3407,
,0.4619,-30.3414,
,0.4734,-30.342,
,0.485,-30.3426,
,0.4965,-30.3431,
,0.5081,-30.3436,
,0.5196,-30.344,
,0.5312,-30.3443,
,0.5427,-30.3446,
,0.5543,-30.3447,
,0.5658,-30.3449,
,0.5774,-30.3449,
,0.584,-30.3449,
,0.5907,-30.3447,
,0.5974,-30.3445,
,0.604,-30.3443,
,0.6107,-30.3439,
,0.6174,-30.3435,
,0.624,-30.343,
,0.6307,-30.3425,
,0.6374,-30.342,
,0.644,-30.3413,
,0.6507,-30.3407,
,0.6574,-30.3401,
,0.664,-30.3394,
,0.6707,-30.3388,
,0.6774,-30.3381,
,0.684,-30.3374,
,0.6907,-30.3368,
,0.6974,-30.3361,
,0.704,-30.3355,
,0.7107,-30.3349,
,0.7174,-30.3343,
,0.724,-30.3338,
,0.7307,-30.3332,
,0.7374,-30.3327,
,0.744,-30.3322,
,0.7507,-30.3318,
,0.7574,-30.3318,
,0.764,-30.3354,
,0.7707,-30.3392,
,0.7774,-30.343,
,0.784,-30.3468,
,0.7907,-30.3506,
,0.7974,-30.3545,
,0.804,-30.3583,
,0.8107,-30.3622,
,0.8174,-30.3659,
,0.824,-30.3697,
,0.8307,-30.3734,
,0.8374,-30.3771,
,0.844,-30.3807,
,0.8507,-30.3842,
,0.8574,-30.3877,
,0.864,-30.3911,
,0.8707,-30.3944,
,0.8774,-30.3976,
,0.884,-30.4007,
,0.8907,-30.4037,
,0.8974,-30.4065,
,0.904,-30.4093,
,0.9107,-30.4117,
,0.924,-30.4067,
,0.9374,-30.4015,
,0.9507,-30.3961,
,0.964,-30.3907,
,0.9774,-30.3852,
,0.9907,-30.3797,
,1.004,-30.3742,
,1.0174,-30.3687,
,1.0307,-30.3633,
,1.044,-30.358,
,1.0574,-30.3529,
,1.0707,-30.3481,
,1.084,-30.3438,
,1.0974,-30.3402,
,1.1107,-30.3373,
,1.124,-30.335,
,1.1374,-30.3334,
,1.1507,-30.3321,
,1.164,-30.3311,
,1.1774,-30.3303,
,1.1907,-30.3296,
,1.204,-30.3291,
,1.2174,-30.3286,
,1.2307,-30.3282,
,1.244,-30.3279,
,1.2574,-30.3277,
,1.2707,-30.3275,
,1.284,-30.3274,
,1.2974,-30.3274,
,1.3107,-30.3275,
,1.324,-30.3241,
,1.3374,-30.3156,
,1.3507,-30.3069,
,1.364,-30.2982,
,1.3774,-30.2895,
,1.3907,-30.2809,
,1.404,-30.2724,
,1.4174,-30.2642,
,1.4307,-30.2563,
,1.444,-30.2488,
,1.4574,-30.2418,
,1.4707,-30.2353,
,1.484,-30.2294,
,1.4974,-30.2242,
,1.5107,-30.2197,
,1.524,-30.216,
,1.5374,-30.213,
,1.5507,-30.2109,
,1.564,-30.2096,
,1.5774,-30.2093,
,,,
,0,-30.2092,
,0.0115,-30.2093,
,0.0231,-30.2095,
,0.0346,-30.2098,
,0.0462,-30.2102,
,0.0577,-30.2108,
,0.0693,-30.2114,
,0.0808,-30.2122,
,0.0924,-30.2131,
,0.1039,-30.214,
,0.1155,-30.2151,
,0.127,-30.2163,
,0.1386,-30.2176,
,0.1501,-30.219,
,0.1617,-30.2204,
,0.1732,-30.222,
,0.1848,-30.2236,
,0.1963,-30.2253,
,0.2078,-30.227,
,0.2194,-30.2288,
,0.2309,-30.2307,
,0.2425,-30.2326,
,0.254,-30.2345,
,0.2656,-30.2365,
,0.2771,-30.2384,
,0.2887,-30.2404,
,0.3002,-30.2424,
,0.3118,-30.2444,
,0.3233,-30.2464,
,0.3349,-30.2483,
,0.3464,-30.2502,
,0.358,-30.2521,
,0.3695,-30.2539,
,0.3811,-30.2557,
,0.3926,-30.2574,
,0.4041,-30.2591,
,0.4157,-30.2607,
,0.4272,-30.2622,
,0.4388,-30.2636,
,0.4503,-30.2649,
,0.4619,-30.2662,
,0.4734,-30.2673,
,0.485,-30.2683,
,0.4965,-30.2692,
,0.5081,-30.27,
,0.5196,-30.2707,
,0.5312,-30.2713,
,0.5427,-30.2717,
,0.5543,-30.272,
,0.5658,-30.2722,
,0.5774,-30.2723,
,0.584,-30.2724,
,0.5907,-30.2727,
,0.5974,-30.2731,
,0.604,-30.2738,
,0.6107,-30.2746,
,0.6174,-30.2757,
,0.624,-30.2769,
,0.6307,-30.2783,
,0.6374,-30.2798,
,0.644,-30.2815,
,0.6507,-30.2834,
,0.6574,-30.2855,
,0.664,-30.2877,
,0.6707,-30.2901,
,0.6774,-30.2926,
,0.684,-30.2952,
,0.6907,-30.298,
,0.6974,-30.301,
,0.704,-30.304,
,0.7107,-30.3071,
,0.7174,-30.3104,
,0.724,-30.3137,
,0.7307,-30.3172,
,0.7374,-30.3207,
,0.744,-30.3242,
,0.7507,-30.3279,
,0.7574,-30.3311,
,0.764,-30.3309,
,0.7707,-30.3306,
,0.7774,-30.3302,
,0.784,-30.3299,
,0.7907,-30.3296,
,0.7974,-30.3294,
,0.804,-30.3292,
,0.8107,-30.329,
,0.8174,-30.3288,
,0.824,-30.3286,
,0.8307,-30.3285,
,0.8374,-30.3284,
,0.844,-30.3283,
,0.8507,-30.3282,
,0.8574,-30.3282,
,0.864,-30.3281,
,0.8707,-30.3281,
,0.8774,-30.3281,
,0.884,-30.328,
,0.8907,-30.328,
,0.8974,-30.328,
,0.904,-30.328,
,0.9107,-30.328,
,0.924,-30.328,
,0.9374,-30.328,
,0.9507,-30.328,
,0.964,-30.3279,
,0.9774,-30.3277,
,0.9907,-30.3275,
,1.004,-30.3272,
,1.0174,-30.3268,
,1.0307,-30.3263,
,1.044,-30.3256,
,1.0574,-30.3246,
,1.0707,-30.3233,
,1.084,-30.3214,
,1.0974,-30.3189,
,1.1107,-30.3157,
,1.124,-30.3118,
,1.1374,-30.3074,
,1.1507,-30.3026,
,1.164,-30.2977,
,1.1774,-30.2927,
,1.1907,-30.2876,
,1.204,-30.2826,
,1.2174,-30.2777,
,1.2307,-30.2728,
,1.244,-30.268,
,1.2574,-30.2634,
,1.2707,-30.2589,
,1.284,-30.2546,
,1.2974,-30.2505,
,1.3107,-30.2465,
,1.324,-30.2427,
,1.3374,-30.2392,
,1.3507,-30.2358,
,1.364,-30.2326,
,1.3774,-30.2296,
,1.3907,-30.2268,
,1.404,-30.2243,
,1.4174,-30.222,
,1.4307,-30.2198,
,1.444,-30.2179,
,1.4574,-30.2162,
,1.4707,-30.2147,
,1.484,-30.2134,
,1.4974,-30.2123,
,1.5107,-30.2113,
,1.524,-30.2106,
,1.5374,-30.21,
,1.5507,-30.2096,
,1.564,-30.2094,
,1.5774,-30.2092,
,,,
,0,-9.4534,
,0.0115,-9.4517,
,0.0231,-9.4466,
,0.0346,-9.4381,
,0.0462,-9.4263,
,0.0577,-9.4112,
,0.0693,-9.3927,
,0.0808,-9.371,
,0.0924,-9.3462,
,0.1039,-9.3182,
,0.1155,-9.2872,
,0.127,-9.2532,
,0.1386,-9.2163,
,0.1501,-9.1766,
,0.1617,-9.1344,
,0.1732,-9.0895,
,0.1848,-9.0422,
,0.1963,-8.9927,
,0.2078,-8.941,
,0.2194,-8.8874,
,0.2309,-8.832,
,0.2425,-8.7749,
,0.254,-8.7165,
,0.2656,-8.6568,
,0.2771,-8.5962,
,0.2887,-8.5349,
,0.3002,-8.4731,
,0.3118,-8.4112,
,0.3233,-8.3496,
,0.3349,-8.2884,
,0.3464,-8.2283,
,0.358,-8.1696,
,0.3695,-8.1128,
,0.3811,-8.0584,
,0.3926,-8.007,
,0.4041,-7.9591,
,0.4157,-7.9152,
,0.4272,-7.8756,
,0.4388,-7.8406,
,0.4503,-7.81,
,0.4619,-7.7838,
,0.4734,-7.7616,
,0.485,-7.7429,
,0.4965,-7.7275,
,0.5081,-7.7149,
,0.5196,-7.7048,
,0.5312,-7.6969,
,0.5427,-7.691,
,0.5543,-7.6869,
,0.5658,-7.6845,
,0.5774,-7.6837,
,0.584,-7.6834,
,0.5907,-7.6826,
,0.5974,-7.6811,
,0.604,-7.679,
,0.6107,-7.6763,
,0.6174,-7.6731,
,0.624,-7.6693,
,0.6307,-7.6649,
,0.6374,-7.6601,
,0.644,-7.6546,
,0.6507,-7.6486,
,0.6574,-7.6421,
,0.664,-7.6351,
,0.6707,-7.6276,
,0.6774,-7.6197,
,0.684,-7.6113,
,0.6907,-7.6024,
,0.6974,-7.5931,
,0.704,-7.5834,
,0.7107,-7.5733,
,0.7174,-7.5629,
,0.724,-7.5521,
,0.7307,-7.5411,
,0.7374,-7.5297,
,0.744,-7.5182,
,0.7507,-7.5065,
,0.7574,-7.4945,
,0.764,-7.4824,
,0.7707,-7.4702,
,0.7774,-7.4579,
,0.784,-7.4455,
,0.7907,-7.4331,
,0.7974,-7.4207,
,0.804,-7.4084,
,0.8107,-7.3963,
,0.8174,-7.3842,
,0.824,-7.3724,
,0.8307,-7.3607,
,0.8374,-7.3493,
,0.844,-7.3383,
,0.8507,-7.3276,
,0.8574,-7.3173,
,0.864,-7.3075,
,0.8707,-7.2981,
,0.8774,-7.2893,
,0.884,-7.2811,
,0.8907,-7.2736,
,0.8974,-7.267,
,0.904,-7.2616,
,0.9107,-7.2591,
,0.924,-7.2657,
,0.9374,-7.276,
,0.9507,-7.2872,
,0.964,-7.2987,
,0.9774,-7.3106,
,0.9907,-7.3229,
,1.004,-7.3355,
,1.0174,-7.3483,
,1.0307,-7.3617,
,1.044,-7.3761,
,1.0574,-7.3997,
,1.0707,-7.4398,
,1.084,-7.4857,
,1.0974,-7.536,
,1.1107,-7.5905,
,1.124,-7.6487,
,1.1374,-7.7103,
,1.1507,-7.7749,
,1.164,-7.8421,
,1.1774,-7.9116,
,1.1907,-7.983,
,1.204,-8.0559,
,1.2174,-8.1298,
,1.2307,-8.2044,
,1.244,-8.2794,
,1.2574,-8.3544,
,1.2707,-8.429,
,1.284,-8.5029,
,1.2974,-8.5758,
,1.3107,-8.6474,
,1.324,-8.7173,
,1.3374,-8.7854,
,1.3507,-8.8513,
,1.364,-8.9149,
,1.3774,-8.9758,
,1.3907,-9.0338,
,1.404,-9.0887,
,1.4174,-9.1404,
,1.4307,-9.1887,
,1.444,-9.2333,
,1.4574,-9.2741,
,1.4707,-9.3111,
,1.484,-9.344,
,1.4974,-9.3727,
,1.5107,-9.3972,
,1.524,-9.4173,
,1.5374,-9.4331,
,1.5507,-9.4444,
,1.564,-9.4511,
,1.5774,-9.4534,
,,,
,0,-8.0631,
,0.0115,-8.0623,
,0.0231,-8.0599,
,0.0346,-8.056,
,0.0462,-8.0505,
,0.0577,-8.0434,
,0.0693,-8.0349,
,0.0808,-8.025,
,0.0924,-8.0137,
,0.1039,-8.0012,
,0.1155,-7.9875,
,0.127,-7.9726,
,0.1386,-7.9568,
,0.1501,-7.94,
,0.1617,-7.9224,
,0.1732,-7.9042,
,0.1848,-7.8853,
,0.1963,-7.8659,
,0.2078,-7.8461,
,0.2194,-7.826,
,0.2309,-7.8057,
,0.2425,-7.7852,
,0.254,-7.7647,
,0.2656,-7.7442,
,0.2771,-7.7238,
,0.2887,-7.7034,
,0.3002,-7.683,
,0.3118,-7.6627,
,0.3233,-7.6423,
,0.3349,-7.6219,
,0.3464,-7.6013,
,0.358,-7.5803,
,0.3695,-7.5586,
,0.3811,-7.5362,
,0.3926,-7.5127,
,0.4041,-7.4879,
,0.4157,-7.4617,
,0.4272,-7.4339,
,0.4388,-7.4048,
,0.4503,-7.3746,
,0.4619,-7.3439,
,0.4734,-7.3133,
,0.485,-7.2835,
,0.4965,-7.2553,
,0.5081,-7.2293,
,0.5196,-7.2062,
,0.5312,-7.1866,
,0.5427,-7.1708,
,0.5543,-7.1593,
,0.5658,-7.1523,
,0.5774,-7.15,
,0.584,-7.15,
,0.5907,-7.1501,
,0.5974,-7.1501,
,0.604,-7.1503,
,0.6107,-7.1504,
,0.6174,-7.1506,
,0.624,-7.1508,
,0.6307,-7.1511,
,0.6374,-7.1514,
,0.644,-7.1518,
,0.6507,-7.1523,
,0.6574,-7.1528,
,0.664,-7.1533,
,0.6707,-7.154,
,0.6774,-7.1547,
,0.684,-7.1555,
,0.6907,-7.1564,
,0.6974,-7.1573,
,0.704,-7.1584,
,0.7107,-7.1595,
,0.7174,-7.1608,
,0.724,-7.1621,
,0.7307,-7.1636,
,0.7374,-7.1651,
,0.744,-7.1669,
,0.7507,-7.1687,
,0.7574,-7.1707,
,0.764,-7.1728,
,0.7707,-7.175,
,0.7774,-7.1773,
,0.784,-7.1798,
,0.7907,-7.1824,
,0.7974,-7.1852,
,0.804,-7.1882,
,0.8107,-7.1913,
,0.8174,-7.1945,
,0.824,-7.1979,
,0.8307,-7.2013,
,0.8374,-7.205,
,0.844,-7.2087,
,0.8507,-7.2127,
,0.8574,-7.2167,
,0.864,-7.2209,
,0.8707,-7.2252,
,0.8774,-7.2296,
,0.884,-7.234,
,0.8907,-7.2385,
,0.8974,-7.243,
,0.904,-7.2471,
,0.9107,-7.2492,
,0.924,-7.2443,
,0.9374,-7.2398,
,0.9507,-7.239,
,0.964,-7.2422,
,0.9774,-7.2498,
,0.9907,-7.2621,
,1.004,-7.2791,
,1.0174,-7.3011,
,1.0307,-7.328,
,1.044,-7.3591,
,1.0574,-7.3862,
,1.0707,-7.4017,
,1.084,-7.4165,
,1.0974,-7.4315,
,1.1107,-7.4469,
,1.124,-7.4626,
,1.1374,-7.4788,
,1.1507,-7.4956,
,1.164,-7.5128,
,1.1774,-7.5307,
,1.1907,-7.5493,
,1.204,-7.5684,
,1.2174,-7.5882,
,1.2307,-7.6086,
,1.244,-7.6297,
,1.2574,-7.6513,
,1.2707,-7.6735,
,1.284,-7.6961,
,1.2974,-7.7191,
,1.3107,-7.7424,
,1.324,-7.7659,
,1.3374,-7.7895,
,1.3507,-7.8131,
,1.364,-7.8364,
,1.3774,-7.8595,
,1.3907,-7.882,
,1.404,-7.9039,
,1.4174,-7.925,
,1.4307,-7.9451,
,1.444,-7.9641,
,1.4574,-7.9818,
,1.4707,-7.998,
,1.484,-8.0127,
,1.4974,-8.0257,
,1.5107,-8.037,
,1.524,-8.0463,
,1.5374,-8.0536,
,1.5507,-8.0589,
,1.564,-8.0621,
,1.5774,-8.0631,
,,,
,0,-3.1732,
,0.0115,-3.1709,
,0.0231,-3.1642,
,0.0346,-3.153,
,0.0462,-3.1375,
,0.0577,-3.1174,
,0.0693,-3.0931,
,0.0808,-3.0646,
,0.0924,-3.0322,
,0.1039,-2.9954,
,0.1155,-2.9547,
,0.127,-2.9105,
,0.1386,-2.8627,
,0.1501,-2.8118,
,0.1617,-2.7578,
,0.1732,-2.701,
,0.1848,-2.6419,
,0.1963,-2.5808,
,0.2078,-2.5183,
,0.2194,-2.4552,
,0.2309,-2.3922,
,0.2425,-2.3302,
,0.254,-2.2706,
,0.2656,-2.2152,
,0.2771,-2.1664,
,0.2887,-2.1267,
,0.3002,-2.0989,
,0.3118,-2.0859,
,0.3233,-2.0884,
,0.3349,-2.1058,
,0.3464,-2.1362,
,0.358,-2.1774,
,0.3695,-2.2259,
,0.3811,-2.2803,
,0.3926,-2.338,
,0.4041,-2.3975,
,0.4157,-2.4576,
,0.4272,-2.517,
,0.4388,-2.5751,
,0.4503,-2.631,
,0.4619,-2.6841,
,0.4734,-2.7339,
,0.485,-2.7797,
,0.4965,-2.8213,
,0.5081,-2.8583,
,0.5196,-2.8904,
,0.5312,-2.9169,
,0.5427,-2.9376,
,0.5543,-2.9525,
,0.5658,-2.9619,
,0.5774,-2.9649,
,0.584,-2.9642,
,0.5907,-2.9623,
,0.5974,-2.9592,
,0.604,-2.9548,
,0.6107,-2.949,
,0.6174,-2.9421,
,0.624,-2.934,
,0.6307,-2.9246,
,0.6374,-2.9141,
,0.644,-2.9023,
,0.6507,-2.8894,
,0.6574,-2.8755,
,0.664,-2.8603,
,0.6707,-2.8441,
,0.6774,-2.8271,
,0.684,-2.809,
,0.6907,-2.7898,
,0.6974,-2.7696,
,0.704,-2.7486,
,0.7107,-2.7266,
,0.7174,-2.7038,
,0.724,-2.6803,
,0.7307,-2.656,
,0.7374,-2.6312,
,0.744,-2.6057,
,0.7507,-2.5797,
,0.7574,-2.5534,
,0.764,-2.5266,
,0.7707,-2.4996,
,0.7774,-2.4723,
,0.784,-2.4448,
,0.7907,-2.4173,
,0.7974,-2.3898,
,0.804,-2.3628,
,0.8107,-2.336,
,0.8174,-2.3098,
,0.824,-2.2842,
,0.8307,-2.2592,
,0.8374,-2.2355,
,0.844,-2.2129,
,0.8507,-2.1917,
