E,dos,int,EF
-8.41,3.93E-01,6.81E-01,
-8.4,3.93E-01,6.85E-01,
-8.39,3.93E-01,6.89E-01,
-8.38,3.93E-01,6.93E-01,
-8.37,3.93E-01,6.97E-01,
-8.36,3.93E-01,7.01E-01,
-8.35,3.93E-01,7.05E-01,
-8.34,3.93E-01,7.09E-01,
-8.33,3.94E-01,7.13E-01,
-8.32,3.94E-01,7.17E-01,
-8.31,3.94E-01,7.20E-01,
-8.3,3.95E-01,7.24E-01,
-8.29,3.96E-01,7.28E-01,
-8.28,3.96E-01,7.32E-01,
-8.27,3.97E-01,7.36E-01,
-8.26,3.98E-01,7.40E-01,
-8.25,3.99E-01,7.44E-01,
-8.24,4.00E-01,7.48E-01,
-8.23,4.02E-01,7.52E-01,
-8.22,4.05E-01,7.56E-01,
-8.21,4.11E-01,7.60E-01,
-8.2,4.20E-01,7.65E-01,
-8.19,4.34E-01,7.69E-01,
-8.18,4.57E-01,7.74E-01,
-8.17,4.93E-01,7.78E-01,
-8.16,5.47E-01,7.84E-01,
-8.15,6.24E-01,7.90E-01,
-8.14,7.29E-01,7.97E-01,
-8.13,8.67E-01,8.06E-01,
-8.12,1.04E+00,8.17E-01,
-8.11,1.24E+00,8.29E-01,
-8.1,1.47E+00,8.44E-01,
-8.09,1.70E+00,8.61E-01,
-8.08,1.94E+00,8.80E-01,
-8.07,2.16E+00,9.02E-01,
-8.06,2.35E+00,9.25E-01,
-8.05,2.50E+00,9.50E-01,
-8.04,2.60E+00,9.76E-01,
-8.03,2.64E+00,1.00E+00,
-8.02,2.64E+00,1.03E+00,
-8.01,2.60E+00,1.06E+00,
-8,2.53E+00,1.08E+00,
-7.99,2.45E+00,1.11E+00,
-7.98,2.35E+00,1.13E+00,
-7.97,2.26E+00,1.15E+00,
-7.96,2.18E+00,1.17E+00,
-7.95,2.10E+00,1.19E+00,
-7.94,2.04E+00,1.21E+00,
-7.93,1.99E+00,1.23E+00,
-7.92,1.95E+00,1.25E+00,
-7.91,1.92E+00,1.27E+00,
-7.9,1.90E+00,1.29E+00,
-7.89,1.88E+00,1.31E+00,
-7.88,1.87E+00,1.33E+00,
-7.87,1.87E+00,1.35E+00,
-7.86,1.87E+00,1.37E+00,
-7.85,1.88E+00,1.39E+00,
-7.84,1.89E+00,1.40E+00,
-7.83,1.91E+00,1.42E+00,
-7.82,1.94E+00,1.44E+00,
-7.81,1.98E+00,1.46E+00,
-7.8,2.04E+00,1.48E+00,
-7.79,2.11E+00,1.50E+00,
-7.78,2.20E+00,1.53E+00,
-7.77,2.32E+00,1.55E+00,
-7.76,2.47E+00,1.57E+00,
-7.75,2.64E+00,1.60E+00,
-7.74,2.84E+00,1.63E+00,
-7.73,3.05E+00,1.66E+00,
-7.72,3.26E+00,1.69E+00,
-7.71,3.46E+00,1.73E+00,
-7.7,3.64E+00,1.76E+00,
-7.69,3.78E+00,1.80E+00,
-7.68,3.87E+00,1.84E+00,
-7.67,3.91E+00,1.88E+00,
-7.66,3.90E+00,1.92E+00,
-7.65,3.84E+00,1.96E+00,
-7.64,3.75E+00,1.99E+00,
-7.63,3.63E+00,2.03E+00,
-7.62,3.50E+00,2.07E+00,
-7.61,3.37E+00,2.10E+00,
-7.6,3.24E+00,2.13E+00,
-7.59,3.13E+00,2.16E+00,
-7.58,3.03E+00,2.19E+00,
-7.57,2.96E+00,2.22E+00,
-7.56,2.89E+00,2.25E+00,
-7.55,2.84E+00,2.28E+00,
-7.54,2.80E+00,2.31E+00,
-7.53,2.77E+00,2.34E+00,
-7.52,2.75E+00,2.36E+00,
-7.51,2.74E+00,2.39E+00,
-7.5,2.73E+00,2.42E+00,
-7.49,2.72E+00,2.44E+00,
-7.48,2.72E+00,2.47E+00,
-7.47,2.72E+00,2.50E+00,
-7.46,2.73E+00,2.53E+00,
-7.45,2.74E+00,2.55E+00,
-7.44,2.75E+00,2.58E+00,
-7.43,2.77E+00,2.61E+00,
-7.42,2.80E+00,2.64E+00,
-7.41,2.83E+00,2.67E+00,
-7.4,2.87E+00,2.69E+00,
-7.39,2.91E+00,2.72E+00,
-7.38,2.97E+00,2.75E+00,
-7.37,3.03E+00,2.78E+00,
-7.36,3.11E+00,2.81E+00,
-7.35,3.20E+00,2.85E+00,
-7.34,3.31E+00,2.88E+00,
-7.33,3.43E+00,2.91E+00,
-7.32,3.56E+00,2.95E+00,
-7.31,3.71E+00,2.99E+00,
-7.3,3.87E+00,3.02E+00,
-7.29,4.05E+00,3.07E+00,
-7.28,4.23E+00,3.11E+00,
-7.27,4.41E+00,3.15E+00,
-7.26,4.60E+00,3.20E+00,
-7.25,4.80E+00,3.25E+00,
-7.24,5.00E+00,3.30E+00,
-7.23,5.21E+00,3.35E+00,
-7.22,5.41E+00,3.40E+00,
-7.21,5.58E+00,3.46E+00,
-7.2,5.72E+00,3.52E+00,
-7.19,5.79E+00,3.57E+00,
-7.18,5.76E+00,3.63E+00,
-7.17,5.62E+00,3.69E+00,
-7.16,5.35E+00,3.74E+00,
-7.15,4.96E+00,3.79E+00,
-7.14,4.46E+00,3.83E+00,
-7.13,3.88E+00,3.87E+00,
-7.12,3.26E+00,3.91E+00,
-7.11,2.64E+00,3.93E+00,
-7.1,2.06E+00,3.95E+00,
-7.09,1.55E+00,3.97E+00,
-7.08,1.12E+00,3.98E+00,
-7.07,7.80E-01,3.99E+00,
-7.06,5.21E-01,3.99E+00,
-7.05,3.34E-01,4.00E+00,
-7.04,2.06E-01,4.00E+00,
-7.03,1.21E-01,4.00E+00,
-7.02,6.88E-02,4.00E+00,
-7.01,3.74E-02,4.00E+00,
-7,1.95E-02,4.00E+00,
-6.99,9.75E-03,4.00E+00,
-6.98,4.67E-03,4.00E+00,
-6.97,2.15E-03,4.00E+00,
-6.96,9.46E-04,4.00E+00,
-6.95,3.99E-04,4.00E+00,
-6.94,1.62E-04,4.00E+00,
-6.93,6.27E-05,4.00E+00,
-6.92,2.33E-05,4.00E+00,
-6.91,8.30E-06,4.00E+00,
-6.9,2.83E-06,4.00E+00,
-6.89,9.27E-07,4.00E+00,
-6.88,2.91E-07,4.00E+00,
-6.87,8.73E-08,4.00E+00,
-6.86,2.51E-08,4.00E+00,
-6.85,6.92E-09,4.00E+00,
-6.84,1.83E-09,4.00E+00,
-6.83,4.63E-10,4.00E+00,
-6.82,1.12E-10,4.00E+00,
-6.81,2.61E-11,4.00E+00,
-6.8,5.80E-12,4.00E+00,
-6.79,1.24E-12,4.00E+00,
-6.78,2.52E-13,4.00E+00,
-6.77,4.94E-14,4.00E+00,
-6.76,9.25E-15,4.00E+00,
-6.75,1.66E-15,4.00E+00,
-6.74,2.86E-16,4.00E+00,
-6.73,4.71E-17,4.00E+00,
-6.72,7.43E-18,4.00E+00,
-6.71,1.12E-18,4.00E+00,
-6.7,1.63E-19,4.00E+00,
-6.69,2.25E-20,4.00E+00,
-6.68,3.00E-21,4.00E+00,
-6.67,3.81E-22,4.00E+00,
-6.66,4.65E-23,4.00E+00,
-6.65,5.42E-24,4.00E+00,
-6.64,6.07E-25,4.00E+00,
-6.63,6.50E-26,4.00E+00,
-6.62,6.67E-27,4.00E+00,
-6.61,6.55E-28,4.00E+00,
-6.6,6.17E-29,4.00E+00,
-6.59,5.56E-30,4.00E+00,
-6.58,4.80E-31,4.00E+00,
-6.57,3.97E-32,4.00E+00,
-6.56,3.15E-33,4.00E+00,
-6.55,2.39E-34,4.00E+00,
-6.54,1.74E-35,4.00E+00,
-6.53,1.21E-36,4.00E+00,
-6.52,8.06E-38,4.00E+00,
-6.51,5.15E-39,4.00E+00,
-6.5,3.15E-40,4.00E+00,
-6.49,1.85E-41,4.00E+00,
-6.48,1.04E-42,4.00E+00,
-6.47,5.57E-44,4.00E+00,
-6.46,2.87E-45,4.00E+00,
-6.45,1.41E-46,4.00E+00,
-6.44,6.67E-48,4.00E+00,
-6.43,3.02E-49,4.00E+00,
-6.42,1.31E-50,4.00E+00,
-6.41,5.42E-52,4.00E+00,
-6.4,2.16E-53,4.00E+00,
-6.39,8.20E-55,4.00E+00,
-6.38,2.99E-56,4.00E+00,
-6.37,1.04E-57,4.00E+00,
-6.36,3.49E-59,4.00E+00,
-6.35,1.12E-60,4.00E+00,
-6.34,3.43E-62,4.00E+00,
-6.33,1.01E-63,4.00E+00,
-6.32,2.84E-65,4.00E+00,
-6.31,7.64E-67,4.00E+00,
-6.3,1.97E-68,4.00E+00,
-6.29,4.88E-70,4.00E+00,
-6.28,1.16E-71,4.00E+00,
-6.27,2.62E-73,4.00E+00,
-6.26,5.69E-75,4.00E+00,
-6.25,1.18E-76,4.00E+00,
-6.24,2.36E-78,4.00E+00,
-6.23,4.50E-80,4.00E+00,
-6.22,8.23E-82,4.00E+00,
-6.21,1.54E-83,4.00E+00,
-6.2,1.25E-84,4.00E+00,
-6.19,1.01E-84,4.00E+00,
-6.18,1.01E-84,4.00E+00,
-6.17,1.01E-84,4.00E+00,
-6.16,1.01E-84,4.00E+00,
-6.15,1.01E-84,4.00E+00,
-6.14,1.01E-84,4.00E+00,
-6.13,1.01E-84,4.00E+00,
-6.12,1.01E-84,4.00E+00,
-6.11,1.01E-84,4.00E+00,
-6.1,1.01E-84,4.00E+00,
-6.09,1.01E-84,4.00E+00,
-6.08,1.01E-84,4.00E+00,
-6.07,1.01E-84,4.00E+00,
-6.06,1.01E-84,4.00E+00,
-6.05,1.01E-84,4.00E+00,
-6.04,1.01E-84,4.00E+00,
-6.03,1.01E-84,4.00E+00,
-6.02,1.01E-84,4.00E+00,
-6.01,1.01E-84,4.00E+00,
-6,1.01E-84,4.00E+00,
-5.99,1.01E-84,4.00E+00,
-5.98,1.01E-84,4.00E+00,
-5.97,1.01E-84,4.00E+00,
-5.96,1.01E-84,4.00E+00,
-5.95,1.01E-84,4.00E+00,
-5.94,1.01E-84,4.00E+00,
-5.93,1.01E-84,4.00E+00,
-5.92,1.01E-84,4.00E+00,
-5.91,1.01E-84,4.00E+00,
-5.9,1.01E-84,4.00E+00,
-5.89,1.01E-84,4.00E+00,
-5.88,1.01E-84,4.00E+00,
-5.87,1.01E-84,4.00E+00,
-5.86,1.01E-84,4.00E+00,
-5.85,1.01E-84,4.00E+00,
-5.84,1.01E-84,4.00E+00,
-5.83,1.01E-84,4.00E+00,
-5.82,1.01E-84,4.00E+00,
-5.81,1.01E-84,4.00E+00,
-5.8,1.01E-84,4.00E+00,
-5.79,1.01E-84,4.00E+00,
-5.78,1.01E-84,4.00E+00,
-5.77,1.01E-84,4.00E+00,
-5.76,1.01E-84,4.00E+00,
-5.75,1.01E-84,4.00E+00,
-5.74,1.01E-84,4.00E+00,
-5.73,1.01E-84,4.00E+00,
-5.72,1.01E-84,4.00E+00,
-5.71,1.01E-84,4.00E+00,
-5.7,1.01E-84,4.00E+00,
-5.69,1.01E-84,4.00E+00,
-5.68,1.01E-84,4.00E+00,
-5.67,1.01E-84,4.00E+00,
-5.66,1.01E-84,4.00E+00,
-5.65,1.01E-84,4.00E+00,
-5.64,1.01E-84,4.00E+00,
-5.63,1.01E-84,4.00E+00,
-5.62,1.01E-84,4.00E+00,
-5.61,1.01E-84,4.00E+00,
-5.6,1.01E-84,4.00E+00,
-5.59,1.01E-84,4.00E+00,
-5.58,1.01E-84,4.00E+00,
-5.57,1.01E-84,4.00E+00,
-5.56,1.01E-84,4.00E+00,
-5.55,1.01E-84,4.00E+00,
-5.54,1.01E-84,4.00E+00,
-5.53,1.01E-84,4.00E+00,
-5.52,1.01E-84,4.00E+00,
-5.51,1.01E-84,4.00E+00,
-5.5,1.01E-84,4.00E+00,
-5.49,1.01E-84,4.00E+00,
-5.48,1.01E-84,4.00E+00,
-5.47,1.01E-84,4.00E+00,
-5.46,1.01E-84,4.00E+00,
-5.45,1.01E-84,4.00E+00,
-5.44,1.01E-84,4.00E+00,
-5.43,1.01E-84,4.00E+00,
-5.42,1.01E-84,4.00E+00,
-5.41,1.01E-84,4.00E+00,
-5.4,1.01E-84,4.00E+00,
-5.39,1.01E-84,4.00E+00,
-5.38,1.01E-84,4.00E+00,
-5.37,1.01E-84,4.00E+00,
