k,E,EF
0.7708,-17.2819,
0.7883,-17.2777,
0.8058,-17.2739,
0.8233,-17.2707,
0.8408,-17.2682,
0.8584,-17.2666,
0.8759,-17.266,
0.8934,-17.2662,
0.9109,-17.2674,
0.9284,-17.2691,
0.9459,-17.2713,
0.9635,-17.2735,
0.981,-17.2755,
0.9985,-17.2772,
1.016,-17.2782,
1.0335,-17.2786,
,,
0,-17.1176,
0.0175,-17.1176,
0.035,-17.1176,
0.0526,-17.1177,
0.0701,-17.1178,
0.0876,-17.118,
0.1051,-17.1181,
0.1226,-17.1183,
0.1401,-17.1186,
0.1577,-17.1188,
0.1752,-17.1192,
0.1927,-17.1196,
0.2102,-17.1201,
0.2277,-17.1207,
0.2452,-17.1215,
0.2628,-17.1225,
0.2803,-17.1239,
0.2978,-17.1258,
0.3153,-17.1286,
0.3328,-17.1324,
0.3504,-17.1376,
0.3679,-17.1439,
0.3854,-17.151,
0.4029,-17.158,
0.4204,-17.1642,
0.4379,-17.1685,
0.4555,-17.1706,
0.473,-17.1711,
0.4905,-17.172,
0.508,-17.1753,
0.5255,-17.1813,
0.543,-17.189,
0.5606,-17.1973,
0.5781,-17.2058,
0.5956,-17.2141,
0.6131,-17.222,
0.6306,-17.2291,
0.6481,-17.2351,
0.6657,-17.2399,
0.6832,-17.243,
0.7007,-17.2444,
0.7182,-17.244,
0.7357,-17.2418,
0.7533,-17.238,
0.7708,-17.2329,
0.7883,-17.2266,
0.8058,-17.2197,
0.8233,-17.2127,
0.8408,-17.2064,
0.8584,-17.203,
0.8759,-17.203,
0.8934,-17.2037,
0.9109,-17.2039,
0.9284,-17.2035,
0.9459,-17.2026,
0.9635,-17.2013,
0.981,-17.2,
0.9985,-17.1988,
1.016,-17.1979,
1.0335,-17.1976,
,,
0,-16.9771,
0.0175,-16.9776,
0.035,-16.9791,
0.0526,-16.9815,
0.0701,-16.9849,
0.0876,-16.9892,
0.1051,-16.9944,
0.1226,-17.0004,
0.1401,-17.0071,
0.1577,-17.0144,
0.1752,-17.0222,
0.1927,-17.0303,
0.2102,-17.0388,
0.2277,-17.0475,
0.2452,-17.0563,
0.2628,-17.065,
0.2803,-17.0737,
0.2978,-17.0819,
0.3153,-17.0895,
0.3328,-17.096,
0.3504,-17.1014,
0.3679,-17.1057,
0.3854,-17.1093,
0.4029,-17.1131,
0.4204,-17.1181,
0.4379,-17.1247,
0.4555,-17.1321,
0.473,-17.1394,
0.4905,-17.1452,
0.508,-17.1481,
0.5255,-17.1482,
0.543,-17.1469,
0.5606,-17.1452,
0.5781,-17.1439,
0.5956,-17.1431,
0.6131,-17.1432,
0.6306,-17.1443,
0.6481,-17.1462,
0.6657,-17.1491,
0.6832,-17.1527,
0.7007,-17.157,
0.7182,-17.1617,
0.7357,-17.1666,
0.7533,-17.1716,
0.7708,-17.1767,
0.7883,-17.1816,
0.8058,-17.1861,
0.8233,-17.1901,
0.8408,-17.1928,
0.8584,-17.1923,
0.8759,-17.1883,
0.8934,-17.184,
0.9109,-17.1805,
0.9284,-17.1782,
0.9459,-17.1768,
0.9635,-17.1764,
0.981,-17.1764,
0.9985,-17.1768,
1.016,-17.1771,
1.0335,-17.1772,
,,
0,-16.9391,
0.0175,-16.9397,
0.035,-16.9414,
0.0526,-16.9441,
0.0701,-16.9477,
0.0876,-16.9521,
0.1051,-16.957,
0.1226,-16.9624,
0.1401,-16.9683,
0.1577,-16.9747,
0.1752,-16.9814,
0.1927,-16.9886,
0.2102,-16.9962,
0.2277,-17.0042,
0.2452,-17.0125,
0.2628,-17.0212,
0.2803,-17.0301,
0.2978,-17.0393,
0.3153,-17.0486,
0.3328,-17.0581,
0.3504,-17.0675,
0.3679,-17.0767,
0.3854,-17.0854,
0.4029,-17.0931,
0.4204,-17.099,
0.4379,-17.1027,
0.4555,-17.1047,
0.473,-17.1058,
0.4905,-17.1064,
0.508,-17.1067,
0.5255,-17.1067,
0.543,-17.1066,
0.5606,-17.1066,
0.5781,-17.1067,
0.5956,-17.1072,
0.6131,-17.1082,
0.6306,-17.1096,
0.6481,-17.1112,
0.6657,-17.1128,
0.6832,-17.1141,
0.7007,-17.1152,
0.7182,-17.1161,
0.7357,-17.1168,
0.7533,-17.1173,
0.7708,-17.1177,
0.7883,-17.1178,
0.8058,-17.1177,
0.8233,-17.1173,
0.8408,-17.1164,
0.8584,-17.1148,
0.8759,-17.1124,
0.8934,-17.109,
0.9109,-17.1048,
0.9284,-17.0999,
0.9459,-17.0947,
0.9635,-17.0895,
0.981,-17.085,
0.9985,-17.0814,
1.016,-17.0791,
1.0335,-17.0783,
,,
0,-16.8891,
0.0175,-16.8892,
0.035,-16.8896,
0.0526,-16.8903,
0.0701,-16.8912,
0.0876,-16.8923,
0.1051,-16.8937,
0.1226,-16.8954,
0.1401,-16.8974,
0.1577,-16.8999,
0.1752,-16.9028,
0.1927,-16.9064,
0.2102,-16.9105,
0.2277,-16.9154,
0.2452,-16.921,
0.2628,-16.9272,
0.2803,-16.9341,
0.2978,-16.9415,
0.3153,-16.9494,
0.3328,-16.9577,
0.3504,-16.9663,
0.3679,-16.9751,
0.3854,-16.9841,
0.4029,-16.9932,
0.4204,-17.0023,
0.4379,-17.0113,
0.4555,-17.0202,
0.473,-17.0289,
0.4905,-17.0373,
0.508,-17.0453,
0.5255,-17.0529,
0.543,-17.0598,
0.5606,-17.0659,
0.5781,-17.071,
0.5956,-17.0748,
0.6131,-17.0773,
0.6306,-17.0783,
0.6481,-17.0784,
0.6657,-17.0776,
0.6832,-17.0764,
0.7007,-17.075,
0.7182,-17.0735,
0.7357,-17.0719,
0.7533,-17.0705,
0.7708,-17.0691,
0.7883,-17.0678,
0.8058,-17.0666,
0.8233,-17.0656,
0.8408,-17.0647,
0.8584,-17.0639,
0.8759,-17.0633,
0.8934,-17.0628,
0.9109,-17.0625,
0.9284,-17.0623,
0.9459,-17.0622,
0.9635,-17.0621,
0.981,-17.0622,
0.9985,-17.0622,
1.016,-17.0623,
1.0335,-17.0623,
,,
0,-16.8277,
0.0175,-16.8278,
0.035,-16.828,
0.0526,-16.8287,
0.0701,-16.8298,
0.0876,-16.8316,
0.1051,-16.8338,
0.1226,-16.8365,
0.1401,-16.8394,
0.1577,-16.8425,
0.1752,-16.8456,
0.1927,-16.8486,
0.2102,-16.8513,
0.2277,-16.8538,
0.2452,-16.856,
0.2628,-16.8578,
0.2803,-16.8593,
0.2978,-16.8606,
0.3153,-16.8616,
0.3328,-16.8626,
0.3504,-16.8635,
0.3679,-16.8645,
0.3854,-16.8658,
0.4029,-16.8673,
0.4204,-16.8694,
0.4379,-16.872,
0.4555,-16.8754,
0.473,-16.8796,
0.4905,-16.8845,
0.508,-16.89,
0.5255,-16.8962,
0.543,-16.9028,
0.5606,-16.9098,
0.5781,-16.9172,
0.5956,-16.9247,
0.6131,-16.9325,
0.6306,-16.9403,
0.6481,-16.9481,
0.6657,-16.956,
0.6832,-16.9637,
0.7007,-16.9714,
0.7182,-16.9789,
0.7357,-16.9861,
0.7533,-16.9931,
0.7708,-16.9998,
0.7883,-17.0061,
0.8058,-17.0121,
0.8233,-17.0176,
0.8408,-17.0226,
0.8584,-17.0272,
0.8759,-17.0312,
0.8934,-17.0347,
0.9109,-17.0377,
0.9284,-17.0401,
0.9459,-17.042,
0.9635,-17.0434,
0.981,-17.0443,
0.9985,-17.0449,
1.016,-17.0452,
1.0335,-17.0453,
,,
0,-16.8081,
0.0175,-16.8077,
0.035,-16.8064,
0.0526,-16.8042,
0.0701,-16.8011,
0.0876,-16.7972,
0.1051,-16.7929,
0.1226,-16.7883,
0.1401,-16.7838,
0.1577,-16.7795,
0.1752,-16.7757,
0.1927,-16.7726,
0.2102,-16.7704,
0.2277,-16.7691,
0.2452,-16.7689,
0.2628,-16.7697,
0.2803,-16.7714,
0.2978,-16.7739,
0.3153,-16.777,
0.3328,-16.7806,
0.3504,-16.7845,
0.3679,-16.7884,
0.3854,-16.7923,
0.4029,-16.7959,
0.4204,-16.7991,
0.4379,-16.8016,
0.4555,-16.8033,
0.473,-16.8042,
0.4905,-16.8042,
0.508,-16.8034,
0.5255,-16.8019,
0.543,-16.7998,
0.5606,-16.7971,
0.5781,-16.794,
0.5956,-16.7905,
0.6131,-16.7868,
0.6306,-16.7829,
0.6481,-16.779,
0.6657,-16.7753,
0.6832,-16.7718,
0.7007,-16.7689,
0.7182,-16.7669,
0.7357,-16.7659,
0.7533,-16.7665,
0.7708,-16.7689,
0.7883,-16.7731,
0.8058,-16.7792,
0.8233,-16.7867,
0.8408,-16.7953,
0.8584,-16.8048,
0.8759,-16.8147,
0.8934,-16.8247,
0.9109,-16.8345,
0.9284,-16.844,
0.9459,-16.8528,
0.9635,-16.8606,
0.981,-16.8672,
0.9985,-16.8721,
1.016,-16.8753,
1.0335,-16.8763,
,,
0,-16.6436,
0.0175,-16.6438,
0.035,-16.6443,
0.0526,-16.6452,
0.0701,-16.6463,
0.0876,-16.6477,
0.1051,-16.6492,
0.1226,-16.6507,
0.1401,-16.6521,
0.1577,-16.6532,
0.1752,-16.654,
0.1927,-16.6542,
0.2102,-16.6536,
0.2277,-16.6523,
0.2452,-16.65,
0.2628,-16.6469,
0.2803,-16.643,
0.2978,-16.6384,
0.3153,-16.6332,
0.3328,-16.6276,
0.3504,-16.6216,
0.3679,-16.6154,
0.3854,-16.6091,
0.4029,-16.6027,
0.4204,-16.5963,
0.4379,-16.59,
0.4555,-16.5839,
0.473,-16.5779,
0.4905,-16.5723,
0.508,-16.5671,
0.5255,-16.5625,
0.543,-16.559,
0.5606,-16.5574,
0.5781,-16.5591,
0.5956,-16.5651,
0.6131,-16.574,
0.6306,-16.5845,
0.6481,-16.5955,
0.6657,-16.6066,
0.6832,-16.6175,
0.7007,-16.6278,
0.7182,-16.6372,
0.7357,-16.6454,
0.7533,-16.6521,
0.7708,-16.657,
0.7883,-16.66,
0.8058,-16.6612,
0.8233,-16.661,
0.8408,-16.6596,
0.8584,-16.6574,
0.8759,-16.6548,
0.8934,-16.6519,
0.9109,-16.6491,
0.9284,-16.6464,
0.9459,-16.6439,
0.9635,-16.6417,
0.981,-16.64,
0.9985,-16.6387,
1.016,-16.638,
1.0335,-16.6377,
,,
0,-16.2815,
0.0175,-16.2818,
0.035,-16.2825,
0.0526,-16.2838,
0.0701,-16.2856,
0.0876,-16.2879,
0.1051,-16.2907,
0.1226,-16.294,
0.1401,-16.2979,
0.1577,-16.3023,
0.1752,-16.3072,
0.1927,-16.3127,
0.2102,-16.3187,
0.2277,-16.3253,
0.2452,-16.3323,
0.2628,-16.3399,
0.2803,-16.348,
0.2978,-16.3566,
0.3153,-16.3656,
0.3328,-16.3751,
0.3504,-16.3849,
0.3679,-16.3952,
0.3854,-16.4057,
0.4029,-16.4166,
0.4204,-16.4277,
0.4379,-16.4391,
0.4555,-16.4507,
0.473,-16.4623,
0.4905,-16.474,
0.508,-16.4856,
0.5255,-16.4969,
0.543,-16.5075,
0.5606,-16.5165,
0.5781,-16.5223,
0.5956,-16.5242,
0.6131,-16.5233,
0.6306,-16.5209,
0.6481,-16.5181,
0.6657,-16.515,
0.6832,-16.5119,
0.7007,-16.5089,
0.7182,-16.506,
0.7357,-16.5032,
0.7533,-16.5005,
0.7708,-16.4979,
0.7883,-16.4953,
0.8058,-16.4928,
0.8233,-16.4904,
0.8408,-16.488,
0.8584,-16.4855,
0.8759,-16.4831,
0.8934,-16.4807,
0.9109,-16.4784,
0.9284,-16.4761,
0.9459,-16.474,
0.9635,-16.4721,
0.981,-16.4705,
0.9985,-16.4693,
1.016,-16.4685,
1.0335,-16.4683,
,,
0,-16.1466,
0.0175,-16.1469,
0.035,-16.1478,
0.0526,-16.1493,
0.0701,-16.1514,
0.0876,-16.154,
0.1051,-16.1571,
0.1226,-16.1606,
0.1401,-16.1646,
0.1577,-16.1688,
0.1752,-16.1734,
0.1927,-16.1782,
0.2102,-16.1831,
0.2277,-16.1882,
0.2452,-16.1933,
0.2628,-16.1985,
0.2803,-16.2037,
0.2978,-16.2088,
0.3153,-16.2139,
0.3328,-16.2189,
0.3504,-16.2238,
0.3679,-16.2286,
0.3854,-16.2332,
0.4029,-16.2376,
0.4204,-16.2419,
0.4379,-16.246,
0.4555,-16.2498,
0.473,-16.2535,
0.4905,-16.2569,
0.508,-16.26,
0.5255,-16.2629,
0.543,-16.2655,
0.5606,-16.2679,
0.5781,-16.2699,
0.5956,-16.2716,
0.6131,-16.2731,
0.6306,-16.2743,
0.6481,-16.2752,
0.6657,-16.2758,
0.6832,-16.2762,
0.7007,-16.2763,
0.7182,-16.2762,
0.7357,-16.276,
0.7533,-16.2757,
0.7708,-16.2753,
0.7883,-16.2749,
0.8058,-16.2749,
0.8233,-16.2757,
0.8408,-16.2784,
0.8584,-16.2835,
0.8759,-16.2899,
0.8934,-16.2966,
0.9109,-16.3032,
0.9284,-16.3093,
0.9459,-16.3148,
0.9635,-16.3195,
0.981,-16.3234,
0.9985,-16.3263,
1.016,-16.3281,
1.0335,-16.3286,
,,
0,-15.9872,
0.0175,-15.9873,
0.035,-15.9875,
0.0526,-15.9878,
0.0701,-15.9883,
0.0876,-15.989,
0.1051,-15.99,
0.1226,-15.9912,
0.1401,-15.9928,
0.1577,-15.9947,
0.1752,-15.9969,
0.1927,-15.9995,
0.2102,-16.0024,
0.2277,-16.0057,
0.2452,-16.0094,
0.2628,-16.0134,
0.2803,-16.0178,
0.2978,-16.0226,
0.3153,-16.0276,
0.3328,-16.033,
0.3504,-16.0387,
0.3679,-16.0447,
0.3854,-16.051,
0.4029,-16.0576,
0.4204,-16.0644,
0.4379,-16.0715,
0.4555,-16.0788,
0.473,-16.0864,
0.4905,-16.0941,
0.508,-16.102,
0.5255,-16.1102,
0.543,-16.1184,
0.5606,-16.1269,
0.5781,-16.1355,
0.5956,-16.1442,
0.6131,-16.153,
0.6306,-16.1619,
0.6481,-16.1709,
0.6657,-16.18,
0.6832,-16.1891,
0.7007,-16.1982,
0.7182,-16.2073,
0.7357,-16.2163,
0.7533,-16.2253,
0.7708,-16.2341,
0.7883,-16.2426,
0.8058,-16.2506,
0.8233,-16.2574,
0.8408,-16.2621,
0.8584,-16.2642,
0.8759,-16.2646,
0.8934,-16.2644,
0.9109,-16.2639,
0.9284,-16.2633,
0.9459,-16.2627,
0.9635,-16.2621,
0.981,-16.2617,
0.9985,-16.2614,
1.016,-16.2612,
1.0335,-16.2611,
,,
0,-15.9259,
0.0175,-15.9254,
0.035,-15.9241,
0.0526,-15.9218,
0.0701,-15.9187,
0.0876,-15.9146,
0.1051,-15.9096,
0.1226,-15.9037,
0.1401,-15.8969,
0.1577,-15.8893,
0.1752,-15.881,
0.1927,-15.8719,
0.2102,-15.8623,
0.2277,-15.8523,
0.2452,-15.8422,
0.2628,-15.8324,
0.2803,-15.8238,
0.2978,-15.8175,
0.3153,-15.8142,
0.3328,-15.8136,
0.3504,-15.8147,
0.3679,-15.8166,
0.3854,-15.8191,
0.4029,-15.822,
0.4204,-15.8251,
0.4379,-15.8283,
0.4555,-15.8316,
0.473,-15.8351,
0.4905,-15.8385,
0.508,-15.8421,
0.5255,-15.8456,
0.543,-15.8492,
0.5606,-15.8528,
0.5781,-15.8563,
0.5956,-15.8598,
0.6131,-15.8633,
0.6306,-15.8666,
0.6481,-15.87,
0.6657,-15.8732,
0.6832,-15.8763,
0.7007,-15.8794,
0.7182,-15.8823,
0.7357,-15.8851,
0.7533,-15.8878,
0.7708,-15.8904,
0.7883,-15.8928,
0.8058,-15.8951,
0.8233,-15.8973,
0.8408,-15.8993,
0.8584,-15.9011,
0.8759,-15.9028,
0.8934,-15.9044,
0.9109,-15.9057,
0.9284,-15.9069,
0.9459,-15.9079,
0.9635,-15.9088,
0.981,-15.9094,
0.9985,-15.9099,
1.016,-15.9102,
1.0335,-15.9102,
,,
0,-15.816,
0.0175,-15.8156,
0.035,-15.8142,
0.0526,-15.8119,
0.0701,-15.8088,
0.0876,-15.805,
0.1051,-15.8004,
0.1226,-15.7954,
0.1401,-15.7902,
0.1577,-15.7853,
0.1752,-15.7813,
0.1927,-15.7789,
0.2102,-15.7783,
0.2277,-15.7788,
0.2452,-15.7796,
0.2628,-15.78,
0.2803,-15.779,
0.2978,-15.7753,
0.3153,-15.7682,
0.3328,-15.7582,
0.3504,-15.7466,
0.3679,-15.7343,
0.3854,-15.7222,
0.4029,-15.7117,
0.4204,-15.7038,
0.4379,-15.6986,
0.4555,-15.6952,
0.473,-15.6927,
0.4905,-15.6906,
0.508,-15.6888,
0.5255,-15.687,
0.543,-15.6854,
0.5606,-15.6839,
0.5781,-15.6827,
0.5956,-15.6818,
0.6131,-15.6815,
0.6306,-15.6817,
0.6481,-15.6825,
0.6657,-15.6837,
0.6832,-15.6853,
0.7007,-15.6872,
0.7182,-15.6892,
0.7357,-15.6912,
0.7533,-15.6932,
0.7708,-15.6953,
0.7883,-15.6972,
0.8058,-15.6991,
0.8233,-15.7009,
0.8408,-15.7025,
0.8584,-15.7041,
0.8759,-15.7055,
0.8934,-15.7068,
0.9109,-15.7079,
0.9284,-15.7089,
0.9459,-15.7097,
0.9635,-15.7104,
0.981,-15.711,
0.9985,-15.7113,
1.016,-15.7116,
1.0335,-15.7117,
,,
0,-15.728,
0.0175,-15.7284,
0.035,-15.7295,
0.0526,-15.7312,
0.0701,-15.7335,
0.0876,-15.7361,
0.1051,-15.7388,
0.1226,-15.7415,
0.1401,-15.7436,
0.1577,-15.7448,
0.1752,-15.7444,
0.1927,-15.7416,
0.2102,-15.7365,
0.2277,-15.7296,
0.2452,-15.7216,
0.2628,-15.7134,
0.2803,-15.7055,
0.2978,-15.6985,
0.3153,-15.6929,
0.3328,-15.6886,
0.3504,-15.6853,
0.3679,-15.6822,
0.3854,-15.6785,
0.4029,-15.6729,
0.4204,-15.6642,
0.4379,-15.6523,
0.4555,-15.6382,
0.473,-15.6249,
0.4905,-15.6283,
0.508,-15.6318,
0.5255,-15.6351,
0.543,-15.6381,
0.5606,-15.6407,
0.5781,-15.6427,
0.5956,-15.644,
0.6131,-15.6445,
0.6306,-15.6441,
0.6481,-15.6429,
0.6657,-15.6408,
0.6832,-15.6381,
0.7007,-15.6349,
0.7182,-15.6313,
0.7357,-15.6273,
0.7533,-15.6231,
0.7708,-15.6187,
0.7883,-15.6141,
0.8058,-15.6094,
0.8233,-15.6046,
0.8408,-15.5997,
0.8584,-15.5948,
0.8759,-15.59,
0.8934,-15.5852,
0.9109,-15.5806,
0.9284,-15.5761,
0.9459,-15.572,
0.9635,-15.5683,
0.981,-15.5651,
0.9985,-15.5626,
1.016,-15.5611,
1.0335,-15.5605,
,,
0,-15.6201,
0.0175,-15.6201,
0.035,-15.6203,
0.0526,-15.6206,
0.0701,-15.6213,
0.0876,-15.6224,
0.1051,-15.6239,
0.1226,-15.6258,
0.1401,-15.6279,
0.1577,-15.6301,
0.1752,-15.6324,
0.1927,-15.6347,
0.2102,-15.6367,
0.2277,-15.6384,
0.2452,-15.6394,
0.2628,-15.6394,
0.2803,-15.638,
0.2978,-15.6348,
0.3153,-15.6294,
0.3328,-15.622,
0.3504,-15.6137,
0.3679,-15.6076,
0.3854,-15.6068,
0.4029,-15.6093,
0.4204,-15.6128,
0.4379,-15.6167,
0.4555,-15.6205,
0.473,-15.6222,
0.4905,-15.6062,
0.508,-15.5894,
0.5255,-15.5723,
0.543,-15.5552,
0.5606,-15.5382,
0.5781,-15.5215,
0.5956,-15.5056,
0.6131,-15.491,
0.6306,-15.4784,
0.6481,-15.4686,
0.6657,-15.4618,
0.6832,-15.4576,
0.7007,-15.4555,
0.7182,-15.4549,
0.7357,-15.4553,
0.7533,-15.4564,
0.7708,-15.4581,
0.7883,-15.4602,
0.8058,-15.4626,
0.8233,-15.4654,
0.8408,-15.4684,
0.8584,-15.4716,
0.8759,-15.475,
0.8934,-15.4785,
0.9109,-15.482,
0.9284,-15.4854,
0.9459,-15.4888,
0.9635,-15.4918,
0.981,-15.4945,
0.9985,-15.4966,
1.016,-15.498,
1.0335,-15.4984,
,,
0,-15.5912,
0.0175,-15.5908,
0.035,-15.5893,
0.0526,-15.5869,
0.0701,-15.5835,
0.0876,-15.5793,
0.1051,-15.5744,
0.1226,-15.5692,
0.1401,-15.5643,
0.1577,-15.5603,
0.1752,-15.5582,
0.1927,-15.5582,
0.2102,-15.5598,
0.2277,-15.5625,
0.2452,-15.5659,
0.2628,-15.5696,
0.2803,-15.5736,
0.2978,-15.5776,
0.3153,-15.5815,
0.3328,-15.5851,
0.3504,-15.5874,
0.3679,-15.586,
0.3854,-15.5779,
0.4029,-15.5655,
0.4204,-15.5514,
0.4379,-15.5362,
0.4555,-15.5205,
0.473,-15.5044,
0.4905,-15.4882,
0.508,-15.472,
0.5255,-15.4563,
0.543,-15.4418,
0.5606,-15.4299,
0.5781,-15.4214,
0.5956,-15.4152,
0.6131,-15.4096,
0.6306,-15.403,
0.6481,-15.3943,
0.6657,-15.3831,
0.6832,-15.37,
0.7007,-15.3565,
0.7182,-15.3452,
0.7357,-15.3398,
0.7533,-15.3392,
0.7708,-15.3406,
0.7883,-15.3427,
0.8058,-15.3451,
0.8233,-15.3475,
0.8408,-15.3499,
0.8584,-15.3521,
0.8759,-15.3543,
0.8934,-15.3562,
0.9109,-15.358,
0.9284,-15.3595,
0.9459,-15.3608,
0.9635,-15.3619,
0.981,-15.3627,
0.9985,-15.3633,
1.016,-15.3637,
1.0335,-15.3638,
,,
0,-15.5125,
0.0175,-15.5128,
0.035,-15.5136,
0.0526,-15.5149,
0.0701,-15.5166,
0.0876,-15.5186,
0.1051,-15.5206,
0.1226,-15.5223,
0.1401,-15.5233,
0.1577,-15.5229,
0.1752,-15.5204,
0.1927,-15.5155,
0.2102,-15.5088,
0.2277,-15.5009,
0.2452,-15.4923,
0.2628,-15.4835,
0.2803,-15.4746,
0.2978,-15.4658,
0.3153,-15.4574,
0.3328,-15.4496,
0.3504,-15.4424,
0.3679,-15.436,
0.3854,-15.4304,
0.4029,-15.4256,
0.4204,-15.4216,
0.4379,-15.4182,
0.4555,-15.4154,
0.473,-15.4129,
0.4905,-15.4106,
0.508,-15.4083,
0.5255,-15.4054,
0.543,-15.4011,
0.5606,-15.3941,
0.5781,-15.3835,
0.5956,-15.3699,
0.6131,-15.3553,
0.6306,-15.3414,
0.6481,-15.3305,
0.6657,-15.3245,
0.6832,-15.3226,
0.7007,-15.3227,
0.7182,-15.323,
0.7357,-15.3228,
0.7533,-15.3225,
0.7708,-15.3223,
0.7883,-15.3221,
0.8058,-15.322,
0.8233,-15.3219,
0.8408,-15.3218,
0.8584,-15.3217,
0.8759,-15.3217,
0.8934,-15.3217,
0.9109,-15.3216,
0.9284,-15.3216,
0.9459,-15.3216,
0.9635,-15.3216,
0.981,-15.3216,
0.9985,-15.3216,
1.016,-15.3216,
1.0335,-15.3216,
,,
0,-15.4327,
0.0175,-15.4323,
0.035,-15.4313,
0.0526,-15.4297,
0.0701,-15.4274,
0.0876,-15.4247,
0.1051,-15.4216,
0.1226,-15.4181,
0.1401,-15.4142,
0.1577,-15.4101,
0.1752,-15.4058,
0.1927,-15.4013,
0.2102,-15.3967,
0.2277,-15.3918,
0.2452,-15.3868,
0.2628,-15.3816,
0.2803,-15.3762,
0.2978,-15.3704,
0.3153,-15.3642,
0.3328,-15.3576,
0.3504,-15.3505,
0.3679,-15.343,
0.3854,-15.3354,
0.4029,-15.3288,
0.4204,-15.3248,
0.4379,-15.3231,
0.4555,-15.3224,
0.473,-15.322,
0.4905,-15.3217,
0.508,-15.3216,
0.5255,-15.3214,
0.543,-15.3213,
0.5606,-15.3212,
0.5781,-15.3211,
0.5956,-15.321,
0.6131,-15.3208,
0.6306,-15.3207,
0.6481,-15.3206,
0.6657,-15.3205,
0.6832,-15.3202,
0.7007,-15.3187,
0.7182,-15.3145,
0.7357,-15.3047,
0.7533,-15.2906,
0.7708,-15.2758,
0.7883,-15.2643,
0.8058,-15.2583,
0.8233,-15.2559,
0.8408,-15.2549,
0.8584,-15.2546,
0.8759,-15.2546,
0.8934,-15.2547,
0.9109,-15.2549,
0.9284,-15.255,
0.9459,-15.2552,
0.9635,-15.2554,
0.981,-15.2556,
0.9985,-15.2557,
1.016,-15.2557,
1.0335,-15.2557,
,,
0,-15.321,
0.0175,-15.321,
0.035,-15.321,
0.0526,-15.321,
0.0701,-15.321,
0.0876,-15.321,
0.1051,-15.321,
0.1226,-15.3209,
0.1401,-15.3209,
0.1577,-15.3209,
0.1752,-15.3209,
0.1927,-15.3209,
0.2102,-15.3208,
0.2277,-15.3208,
0.2452,-15.3207,
0.2628,-15.3207,
0.2803,-15.3206,
0.2978,-15.3205,
0.3153,-15.3204,
0.3328,-15.3202,
0.3504,-15.3199,
0.3679,-15.3195,
0.3854,-15.3185,
0.4029,-15.3164,
0.4204,-15.3115,
0.4379,-15.3048,
0.4555,-15.2989,
0.473,-15.2953,
0.4905,-15.2938,
0.508,-15.2936,
0.5255,-15.2942,
0.543,-15.2952,
0.5606,-15.2965,
0.5781,-15.2978,
0.5956,-15.2991,
0.6131,-15.2999,
0.6306,-15.2993,
0.6481,-15.2957,
0.6657,-15.2874,
0.6832,-15.2761,
0.7007,-15.2651,
0.7182,-15.2565,
0.7357,-15.2508,
0.7533,-15.2467,
0.7708,-15.2422,
0.7883,-15.2341,
0.8058,-15.2202,
0.8233,-15.2026,
0.8408,-15.1835,
0.8584,-15.1636,
0.8759,-15.1434,
0.8934,-15.1231,
0.9109,-15.1028,
0.9284,-15.0829,
0.9459,-15.0636,
0.9635,-15.0458,
0.981,-15.0308,
0.9985,-15.0205,
1.016,-15.0151,
1.0335,-15.0136,
,,
0,-15.2948,
0.0175,-15.2945,
0.035,-15.2936,
0.0526,-15.2921,
0.0701,-15.2903,
0.0876,-15.2882,
0.1051,-15.2862,
0.1226,-15.2844,
0.1401,-15.2828,
0.1577,-15.2817,
0.1752,-15.2808,
0.1927,-15.2803,
0.2102,-15.28,
0.2277,-15.2798,
0.2452,-15.2797,
0.2628,-15.2797,
0.2803,-15.2797,
0.2978,-15.2797,
0.3153,-15.2798,
0.3328,-15.2798,
0.3504,-15.2798,
0.3679,-15.2798,
0.3854,-15.2797,
0.4029,-15.2794,
0.4204,-15.2786,
0.4379,-15.2769,
0.4555,-15.2733,
0.473,-15.2672,
0.4905,-15.2591,
0.508,-15.2502,
0.5255,-15.2416,
0.543,-15.2342,
0.5606,-15.2288,
0.5781,-15.2253,
0.5956,-15.2234,
0.6131,-15.2224,
0.6306,-15.2218,
0.6481,-15.2211,
0.6657,-15.2197,
0.6832,-15.2169,
0.7007,-15.2115,
0.7182,-15.2024,
0.7357,-15.1896,
0.7533,-15.1741,
0.7708,-15.157,
0.7883,-15.1391,
0.8058,-15.1206,
0.8233,-15.1021,
0.8408,-15.0837,
0.8584,-15.0657,
0.8759,-15.0486,
0.8934,-15.0329,
0.9109,-15.0196,
0.9284,-15.0092,
0.9459,-15.0015,
0.9635,-14.9951,
0.981,-14.9881,
0.9985,-14.9786,
1.016,-14.9676,
1.0335,-14.9617,
,,
0,-15.2578,
0.0175,-15.2576,
0.035,-15.2572,
0.0526,-15.2564,
0.0701,-15.2552,
0.0876,-15.2533,
0.1051,-15.2507,
0.1226,-15.2472,
0.1401,-15.2428,
0.1577,-15.2374,
0.1752,-15.2313,
0.1927,-15.2245,
0.2102,-15.2173,
0.2277,-15.2101,
0.2452,-15.2033,
0.2628,-15.1974,
0.2803,-15.1929,
0.2978,-15.1898,
0.3153,-15.1878,
0.3328,-15.1866,
0.3504,-15.186,
0.3679,-15.1857,
0.3854,-15.1858,
0.4029,-15.186,
0.4204,-15.1864,
0.4379,-15.1869,
0.4555,-15.1874,
0.473,-15.1878,
