k,E,EF
0.508,-22.1027,
0.5255,-22.1026,
0.543,-22.1026,
0.5606,-22.1026,
0.5781,-22.1026,
0.5956,-22.1027,
0.6131,-22.1029,
0.6306,-22.1031,
0.6481,-22.1033,
0.6657,-22.1037,
0.6832,-22.104,
0.7007,-22.1044,
0.7182,-22.1048,
0.7357,-22.1053,
0.7533,-22.1058,
0.7708,-22.1064,
0.7883,-22.1069,
0.8058,-22.1075,
0.8233,-22.108,
0.8408,-22.1086,
0.8584,-22.1091,
0.8759,-22.1096,
0.8934,-22.1101,
0.9109,-22.1106,
0.9284,-22.111,
0.9459,-22.1113,
0.9635,-22.1116,
0.981,-22.1119,
0.9985,-22.1121,
1.016,-22.1122,
1.0335,-22.1122,
,,
0,-21.8878,
0.0175,-21.8884,
0.035,-21.8901,
0.0526,-21.8926,
0.0701,-21.8957,
0.0876,-21.8991,
0.1051,-21.9028,
0.1226,-21.9066,
0.1401,-21.9105,
0.1577,-21.9145,
0.1752,-21.9185,
0.1927,-21.9224,
0.2102,-21.9264,
0.2277,-21.9304,
0.2452,-21.9343,
0.2628,-21.9382,
0.2803,-21.942,
0.2978,-21.9457,
0.3153,-21.9494,
0.3328,-21.953,
0.3504,-21.9565,
0.3679,-21.96,
0.3854,-21.9633,
0.4029,-21.9666,
0.4204,-21.9697,
0.4379,-21.9728,
0.4555,-21.9757,
0.473,-21.9785,
0.4905,-21.9812,
0.508,-21.9837,
0.5255,-21.9862,
0.543,-21.9884,
0.5606,-21.9906,
0.5781,-21.9925,
0.5956,-21.9944,
0.6131,-21.9961,
0.6306,-21.9976,
0.6481,-21.9989,
0.6657,-22.0001,
0.6832,-22.0012,
0.7007,-22.0021,
0.7182,-22.0029,
0.7357,-22.0035,
0.7533,-22.004,
0.7708,-22.0044,
0.7883,-22.0046,
0.8058,-22.0048,
0.8233,-22.0048,
0.8408,-22.0048,
0.8584,-22.0047,
0.8759,-22.0046,
0.8934,-22.0044,
0.9109,-22.0042,
0.9284,-22.0039,
