Count,Score,Grade
399,82.5,B
400,100.0,A
401,87.5,B
402,90.0,A
403,92.5,A
404,85.0,B
405,100.0,A
406,95.0,A
407,92.5,A
408,92.5,A
409,87.5,B
410,77.5,C
411,92.5,A
412,95.0,A
413,70.0,C
414,92.5,A
415,70.0,C
416,97.5,A
417,82.5,B
418,82.5,B
419,100.0,A
420,80.0,B
421,90.0,A
422,40.0,F
423,60.0,D
424,67.5,D
425,60.0,D
426,92.5,A
427,95.0,A
428,95.0,A
429,75.0,C
430,50.0,F
431,92.5,A
432,85.0,B
433,75.0,C
434,85.0,B
435,80.0,B
436,87.5,B
437,82.5,B
438,52.5,F
439,92.5,A
440,67.5,D
441,100.0,A
442,77.5,C
443,77.5,C
444,100.0,A
445,87.5,B
446,87.5,B
447,55.0,F
448,72.5,C
449,75.0,C
450,100.0,A
451,100.0,A
452,92.5,A
453,97.5,A
454,92.5,A
455,50.0,F
456,97.5,A
457,97.5,A
458,80.0,B
459,92.5,A
460,87.5,B
461,80.0,B
462,60.0,D
463,75.0,C
464,90.0,A
465,85.0,B
466,100.0,A
467,60.0,D
468,100.0,A
469,97.5,A
470,87.5,B
471,70.0,C
472,48.0,F
473,58.0,F
474,91.0,A
475,80.0,B
476,67.0,D
477,63.0,D
478,88.0,B
479,73.0,C
480,65.0,D
481,68.0,D
482,53.0,F
483,87.0,B
484,82.0,B
485,81.0,B
486,67.0,D
487,91.0,A
488,80.0,B
489,88.0,B
490,86.0,B
491,55.0,F
492,87.0,B
493,87.0,B
494,75.0,C
495,60.0,D
496,84.0,B
497,80.0,B
498,68.0,D
499,74.0,C
500,79.0,C
501,70.0,C
502,91.0,A
503,77.0,C
504,57.0,F
505,77.0,C
506,75.0,C
507,82.0,B
508,89.0,B
509,95.0,A
510,70.0,C
511,100.0,A
512,84.0,B
513,94.0,A
514,78.0,C
515,77.0,C
516,86.0,B
517,91.0,A
518,74.0,C
519,77.0,C
520,80.0,B
521,76.0,C
522,93.0,A
523,56.0,F
524,75.0,C
525,84.0,B
526,85.0,B
527,81.0,B
528,70.0,C
529,62.0,D
530,68.0,D
531,85.0,B
532,89.0,B
533,78.0,C
534,67.0,D
535,89.0,B
536,77.0,C
537,73.0,C
538,75.0,C
539,75.0,C
540,87.0,B
541,76.0,C
542,73.0,C
543,80.0,B
544,84.0,B
545,77.0,C
546,98.0,A
